startDate,endDate,status,ipAddress,progress,duration,finished,recordedDate,_recordId,recipientLastName,recipientFirstName,recipientEmail,externalDataReference,locationLatitude,locationLongitude,distributionChannel,userLanguage,QID13,QID24_TEXT,QID3,QID14,QID15_1,QID15_2,QID15_3,QID15_4,QID15_5,QID15_6,QID15_7,QID15_8,QID15_8_TEXT,QID16_1,QID16_2,QID16_3,QID16_4,QID17_1,QID17_2,QID17_3,QID17_4,QID18_TEXT,QID19_1,QID19_2,QID19_3,QID19_4,QID19_5,QID20,QID20_6_TEXT,QID12,QID12_5_TEXT,QID21,QID21_5_TEXT,QID22,QID23,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,LocationLatitude - Location Latitude,LocationLongitude - Location Longitude,DistributionChannel - Distribution Channel,UserLanguage - User Language,Q1 - Have you completed an internship within the past 12 months?,Q24 - How would you generally describe you experience with OCS?,"Q2 - Prior to completing your internship, how familiar were you with the OCS internship reporting process?",Q3 - Did you report your internship to the Office of Career Services (OCS)?,"Q4_1 - If you did not report your internship immediately, what were the main reasons? (Select all that apply) - Selected Choice - I reported my internship immediately","Q4_2 - If you did not report your internship immediately, what were the main reasons? (Select all that apply) - Selected Choice - I didn't know I needed to report it","Q4_3 - If you did not report your internship immediately, what were the main reasons? (Select all that apply) - Selected Choice - The reporting process is confusing","Q4_4 - If you did not report your internship immediately, what were the main reasons? (Select all that apply) - Selected Choice - It takes too much time","Q4_5 - If you did not report your internship immediately, what were the main reasons? (Select all that apply) - Selected Choice - I forgot","Q4_6 - If you did not report your internship immediately, what were the main reasons? (Select all that apply) - Selected Choice - I did not see any benefit in reporting","Q4_7 - If you did not report your internship immediately, what were the main reasons? (Select all that apply) - Selected Choice - Privacy concerns","Q4_8 - If you did not report your internship immediately, what were the main reasons? (Select all that apply) - Selected Choice - Other (please specify)","Q4_8_TEXT - If you did not report your internship immediately, what were the main reasons? (Select all that apply) - Other (please specify) - Text",Q5_1 - Please indicate your agreement with the following statements: - The internship reporting process is easy to understand.,Q5_2 - Please indicate your agreement with the following statements: - The reporting system is user-friendly.,Q5_3 - Please indicate your agreement with the following statements: - Reporting my internship benefits me personally.,Q5_4 - Please indicate your agreement with the following statements: - OCS clearly communicates the importance of reporting internships.,Q6_1 - How valuable do you believe internship reporting is for the following stakeholders? - For OCS,Q6_2 - How valuable do you believe internship reporting is for the following stakeholders? - For future students,Q6_3 - How valuable do you believe internship reporting is for the following stakeholders? - For employer relationships,Q6_4 - How valuable do you believe internship reporting is for the following stakeholders? - For my own career support,Q7 - Approximately how many minutes do you believe it takes to complete the internship reporting process?,"Q8_1 - How likely would you be to report your internship promptly if the following were offered? - Entry into a raffle (e.g., $50 gift card)",Q8_2 - How likely would you be to report your internship promptly if the following were offered? - Priority access to career advising,Q8_3 - How likely would you be to report your internship promptly if the following were offered? - Resume feedback,"Q8_4 - How likely would you be to report your internship promptly if the following were offered? - Public recognition (e.g., LinkedIn feature)",Q8_5 - How likely would you be to report your internship promptly if the following were offered? - Reminder emails,Q9 - Which ONE incentive would most motivate you to report your internship promptly? - Selected Choice,Q9_6_TEXT - Which ONE incentive would most motivate you to report your internship promptly? - Other (please specify) - Text,Q10 - What would be your preferred way to report your internship or placement? - Selected Choice,Q10_5_TEXT - What would be your preferred way to report your internship or placement? - Other (please specify) - Text,Q11 - How do you prefer to receive reminders from OCS? - Selected Choice,Q11_5_TEXT - How do you prefer to receive reminders from OCS? - Other (please specify) - Text,Q12 - What is your current academic year?,Q13 - What is your major?,Q_DataPolicyViolations
3/11/2026 15:46,3/11/2026 15:46,Survey Preview,,100,2,TRUE,3/11/2026 15:46,R_5ehsWLXi3JZObvB,,,,,38.994,-76.9519,preview,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/2026 14:03,3/30/2026 14:06,IP Address,129.2.89.203,100,149,TRUE,3/30/2026 14:06,R_7SqXAMDlm7EQFgd,,,,,38.9964,-76.9331,anonymous,EN,Yes,I do not have much experience with the OCS.,Not at all familiar,No,,I didn't know I needed to report it,,,,I did not see any benefit in reporting,,,,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Very valuable,Extremely valuable,Very valuable,Very valuable,5,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Reminder emails,,Online form,,Text message,,,Business,
3/30/2026 20:13,3/30/2026 20:16,IP Address,173.66.33.132,100,145,TRUE,3/30/2026 20:16,R_6HNdg8l6UY3zPms,,,,,38.9705,-76.8388,anonymous,EN,Yes,"Personable in the sense that they provide support, however, it is oftentimes repetitive as they are repeating the same information you might already know of.",Slightly familiar,No,,,,,,I did not see any benefit in reporting,,,,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Not valuable at all,Very valuable,Moderately valuable,Moderately valuable,2,Extremely unlikely,Extremely unlikely,Extremely unlikely,Extremely unlikely,Somewhat likely,Reminder emails,,Online form,,Email,,Senior,Business,
3/31/2026 10:07,3/31/2026 10:07,IP Address,129.2.89.7,100,4,TRUE,3/31/2026 10:07,R_5JxVZ5N2YsYZYsU,,,,,38.9964,-76.9331,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/2026 13:42,3/31/2026 11:23,IP Address,129.2.89.27,100,78060,TRUE,3/31/2026 11:23,R_3siDYLugDEhiGUX,,,,,38.9964,-76.9331,anonymous,EN,Yes,"Negative experience with the career coaches, not great at job/internship listings as well.",Extremely familiar,No,,,,It takes too much time,,I did not see any benefit in reporting,,,,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Very valuable,Slightly valuable,Not valuable at all,Not valuable at all,3,Somewhat likely,Extremely unlikely,Somewhat unlikely,Neither likely nor unlikely,Somewhat unlikely,"Entry into a raffle (e.g., $50 gift card)",,Online form,,Email,,Senior,Business,
4/1/2026 13:04,4/1/2026 13:10,IP Address,129.2.89.127,100,337,TRUE,4/1/2026 13:10,R_1STTmnW2rHZzw41,,,,,38.9964,-76.9331,anonymous,EN,Yes,Overall decent- very organized and responsive. Have had a few issues with reliability for career coach appointments.,Extremely familiar,No,,,,It takes too much time,,I did not see any benefit in reporting,,Other (please specify),"Internship is over the school year, and they only usually specifcy to report Summer internships and post-graduate full-time offers",Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Extremely valuable,Very valuable,Moderately valuable,Not valuable at all,3,Somewhat likely,Extremely unlikely,Extremely unlikely,Somewhat likely,Somewhat likely,"Entry into a raffle (e.g., $50 gift card)",,Online form,,Email,,Senior,Business,
4/1/2026 13:15,4/1/2026 13:16,IP Address,129.2.89.97,100,47,TRUE,4/1/2026 13:16,R_3NIC1JIVdK6I8ev,,,,,38.9964,-76.9331,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2026 13:32,4/1/2026 13:33,IP Address,129.2.89.178,100,3,TRUE,4/1/2026 13:33,R_674kz2E5ZkZWctr,,,,,38.9964,-76.9331,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2026 20:38,4/1/2026 20:39,IP Address,50.186.138.157,100,81,TRUE,4/1/2026 20:39,R_79gqFuECLhO2iv8,,,,,38.9964,-76.9331,anonymous,EN,Yes,barely familiar with them,Not at all familiar,No,,I didn't know I needed to report it,,,,,,,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Moderately valuable,Slightly valuable,Not valuable at all,Slightly valuable,10,Somewhat likely,Somewhat likely,Neither likely nor unlikely,Neither likely nor unlikely,Somewhat likely,Resume feedback,,Online form,,Email,,Sophomore,Business,
