timing_group,engagement,sentiment_group,Q_value,completion_minutes
fast,low,neutral,2,-107.17837182564644
fast,low,neutral,1,-447.5944942737306
fast,low,neutral,3,-186.44021090706428
fast,low,neutral,5,-211.65182077054322
fast,low,neutral,1,-321.47595362402194
fast,low,neutral,2,277.0813141254547
very_slow,low,neutral,4,-584.1960474030436
fast,low,neutral,3,-251.5685017177703
fast,low,neutral,4,60.050613060349654
fast,low,neutral,1,737.4913012944103
fast,low,neutral,4,180.62908712422484
fast,low,neutral,4,-113.45327056507445
fast,low,neutral,1,-683.46295428979
very_slow,low,neutral,3,-22.725760111339056
fast,low,neutral,2,-748.0101370176875
very_slow,low,neutral,3,-387.4958867934359
fast,low,neutral,1,-156.2548916518918
fast,low,neutral,4,703.6275899629766
fast,low,neutral,5,-169.92722513100432
fast,low,neutral,5,-97.24935493606212
fast,low,neutral,5,-300.2163080420139
fast,low,neutral,4,597.923283818485
very_slow,low,neutral,2,333.1933960087555
fast,low,neutral,4,172.53761519617257
medium,low,neutral,2,885.604084789939
fast,low,neutral,4,1048.415379408451
fast,low,neutral,2,485.89892394708227
very_slow,low,neutral,4,-204.37738968091992
very_slow,low,neutral,5,340.92292412251345
fast,low,neutral,5,-71.74591484747911
fast,low,neutral,2,204.7745877363272
fast,low,neutral,4,-358.3669873889985
fast,low,neutral,2,33.97350259916524
fast,low,neutral,1,333.66086301183617
medium,low,neutral,2,-322.47140299051733
fast,low,neutral,4,379.4682916727349
fast,low,neutral,5,-465.0938125420218
fast,low,neutral,1,-289.0076107622597
fast,low,neutral,2,432.7023707522266
very_slow,low,neutral,1,-95.78600924567381
fast,low,neutral,4,-278.06938859628593
fast,low,neutral,5,-180.90305945860064
fast,low,neutral,3,-122.42837078526522
medium,low,neutral,1,141.14768037508057
fast,low,neutral,3,566.2521260925425
fast,low,neutral,4,41.32851176552731
very_slow,low,neutral,1,378.4364331579353
medium,low,neutral,1,19.688381701514487
very_slow,low,neutral,3,297.69408457432314
medium,low,neutral,5,-122.55022008728058
fast,low,neutral,5,797.4405892914355
fast,low,neutral,2,288.13760866386707
fast,low,neutral,2,132.59756808496348
fast,low,neutral,2,603.0118072127252
fast,low,neutral,5,-322.69478489916264
fast,low,neutral,2,-36.37274583111402
fast,low,neutral,3,80.63015139733584
fast,low,neutral,3,580.3676347197888
fast,low,neutral,4,579.5075027845801
fast,low,neutral,5,361.9064987175089
medium,low,neutral,1,344.76667343021563
fast,low,neutral,3,-509.85432176205785
fast,low,neutral,4,619.2955379095164
fast,low,neutral,3,351.95175103229514
fast,low,neutral,2,532.2233169788192
fast,low,neutral,3,131.22833592899957
medium,low,neutral,5,-170.84509760507262
fast,low,neutral,5,303.54159855875247
very_slow,low,neutral,2,-612.2286659515138
fast,low,neutral,3,534.2012111239236
fast,low,neutral,3,-32.53927740665729
medium,low,neutral,3,-469.9720022925754
fast,low,neutral,4,308.1207078416855
fast,low,neutral,3,-171.761015186395
very_slow,low,neutral,1,-295.12492316361624
very_slow,low,neutral,4,-275.9198150325841
medium,low,neutral,3,-65.85354566618135
fast,low,neutral,2,-0.04451615386038554
